character,structure,animation,animation_pointer,frames,directions,png
106,0x06AD278,1,0x0518A28,4,4,character_sprites/character_106/animation_001.png
106,0x06AD278,2,0x05198FC,4,4,character_sprites/character_106/animation_002.png
106,0x06AD278,3,0x051A77C,4,4,character_sprites/character_106/animation_003.png
106,0x06AD278,4,0x051AB10,1,4,character_sprites/character_106/animation_004.png
106,0x06AD278,5,0x051B5D4,3,4,character_sprites/character_106/animation_005.png
106,0x06AD278,6,0x051BC3C,2,4,character_sprites/character_106/animation_006.png
106,0x06AD278,7,0x051C5D4,4,4,character_sprites/character_106/animation_007.png
269,0x06B58D4,0,0x065DAA0,2,4,character_sprites/character_269/animation_000.png
269,0x06B58D4,1,0x065E660,4,4,character_sprites/character_269/animation_001.png
269,0x06B58D4,2,0x065F260,4,4,character_sprites/character_269/animation_002.png
269,0x06B58D4,3,0x065FB6C,3,4,character_sprites/character_269/animation_003.png
269,0x06B58D4,4,0x066089C,4,4,character_sprites/character_269/animation_004.png
269,0x06B58D4,5,0x0660A20,4,4,character_sprites/character_269/animation_005.png
269,0x06B58D4,6,0x0661784,4,4,character_sprites/character_269/animation_006.png
269,0x06B58D4,7,0x0661A9C,1,4,character_sprites/character_269/animation_007.png
269,0x06B58D4,8,0x0661F00,4,4,character_sprites/character_269/animation_008.png
269,0x06B58D4,9,0x0662878,3,4,character_sprites/character_269/animation_009.png
269,0x06B58D4,10,0x0662F78,11,4,character_sprites/character_269/animation_010.png
269,0x06B58D4,11,0x06635A0,2,4,character_sprites/character_269/animation_011.png
269,0x06B58D4,12,0x06637C8,2,4,character_sprites/character_269/animation_012.png
269,0x06B58D4,13,0x0664054,3,4,character_sprites/character_269/animation_013.png
269,0x06B58D4,14,0x066493C,4,4,character_sprites/character_269/animation_014.png
269,0x06B58D4,15,0x06650F4,4,4,character_sprites/character_269/animation_015.png
269,0x06B58D4,16,0x06655E4,4,4,character_sprites/character_269/animation_016.png
269,0x06B58D4,17,0x0665D3C,2,4,character_sprites/character_269/animation_017.png
269,0x06B58D4,18,0x0667148,5,4,character_sprites/character_269/animation_018.png
269,0x06B58D4,19,0x0667EB0,11,4,character_sprites/character_269/animation_019.png
270,0x06B5980,0,0x065DAA0,2,4,character_sprites/character_270/animation_000.png
270,0x06B5980,1,0x065E660,4,4,character_sprites/character_270/animation_001.png
270,0x06B5980,2,0x065F260,4,4,character_sprites/character_270/animation_002.png
270,0x06B5980,3,0x065FB6C,3,4,character_sprites/character_270/animation_003.png
270,0x06B5980,4,0x066089C,4,4,character_sprites/character_270/animation_004.png
270,0x06B5980,5,0x0660A20,4,4,character_sprites/character_270/animation_005.png
270,0x06B5980,6,0x0661784,4,4,character_sprites/character_270/animation_006.png
270,0x06B5980,7,0x0661A9C,1,4,character_sprites/character_270/animation_007.png
270,0x06B5980,8,0x0661F00,4,4,character_sprites/character_270/animation_008.png
270,0x06B5980,9,0x0662878,3,4,character_sprites/character_270/animation_009.png
270,0x06B5980,10,0x0662F78,11,4,character_sprites/character_270/animation_010.png
270,0x06B5980,11,0x06635A0,2,4,character_sprites/character_270/animation_011.png
270,0x06B5980,12,0x06637C8,2,4,character_sprites/character_270/animation_012.png
270,0x06B5980,13,0x0664054,3,4,character_sprites/character_270/animation_013.png
270,0x06B5980,14,0x066493C,4,4,character_sprites/character_270/animation_014.png
270,0x06B5980,15,0x06650F4,4,4,character_sprites/character_270/animation_015.png
270,0x06B5980,16,0x06655E4,4,4,character_sprites/character_270/animation_016.png
270,0x06B5980,17,0x0665D3C,2,4,character_sprites/character_270/animation_017.png
270,0x06B5980,18,0x0667148,5,4,character_sprites/character_270/animation_018.png
270,0x06B5980,19,0x0667EB0,11,4,character_sprites/character_270/animation_019.png
271,0x06B5A2C,0,0x0668780,2,4,character_sprites/character_271/animation_000.png
271,0x06B5A2C,1,0x0668D98,2,4,character_sprites/character_271/animation_001.png
272,0x06B5A88,0,0x066937C,2,4,character_sprites/character_272/animation_000.png
272,0x06B5A88,1,0x066A128,4,4,character_sprites/character_272/animation_001.png
272,0x06B5A88,2,0x066AEF8,4,4,character_sprites/character_272/animation_002.png
272,0x06B5A88,3,0x066B99C,3,4,character_sprites/character_272/animation_003.png
272,0x06B5A88,4,0x066C8E0,4,4,character_sprites/character_272/animation_004.png
272,0x06B5A88,5,0x066CA64,4,4,character_sprites/character_272/animation_005.png
272,0x06B5A88,6,0x066D9C4,4,4,character_sprites/character_272/animation_006.png
272,0x06B5A88,7,0x066DD4C,1,4,character_sprites/character_272/animation_007.png
272,0x06B5A88,8,0x066E7F8,3,4,character_sprites/character_272/animation_008.png
272,0x06B5A88,9,0x066ECCC,4,4,character_sprites/character_272/animation_009.png
272,0x06B5A88,10,0x066F364,2,4,character_sprites/character_272/animation_010.png
272,0x06B5A88,11,0x066F5B8,2,4,character_sprites/character_272/animation_011.png
272,0x06B5A88,12,0x066FFB4,3,4,character_sprites/character_272/animation_012.png
272,0x06B5A88,13,0x06709D0,4,4,character_sprites/character_272/animation_013.png
272,0x06B5A88,14,0x06711F8,4,4,character_sprites/character_272/animation_014.png
272,0x06B5A88,15,0x067162C,4,4,character_sprites/character_272/animation_015.png
272,0x06B5A88,16,0x0671E70,2,4,character_sprites/character_272/animation_016.png
272,0x06B5A88,17,0x0673244,5,4,character_sprites/character_272/animation_017.png
272,0x06B5A88,18,0x06740A0,11,4,character_sprites/character_272/animation_018.png
273,0x06B5B34,0,0x066937C,2,4,character_sprites/character_273/animation_000.png
273,0x06B5B34,1,0x066A128,4,4,character_sprites/character_273/animation_001.png
273,0x06B5B34,2,0x066AEF8,4,4,character_sprites/character_273/animation_002.png
273,0x06B5B34,3,0x066B99C,3,4,character_sprites/character_273/animation_003.png
273,0x06B5B34,4,0x066C8E0,4,4,character_sprites/character_273/animation_004.png
273,0x06B5B34,5,0x066CA64,4,4,character_sprites/character_273/animation_005.png
273,0x06B5B34,6,0x066D9C4,4,4,character_sprites/character_273/animation_006.png
273,0x06B5B34,7,0x066DD4C,1,4,character_sprites/character_273/animation_007.png
273,0x06B5B34,8,0x066E7F8,3,4,character_sprites/character_273/animation_008.png
273,0x06B5B34,9,0x066ECCC,4,4,character_sprites/character_273/animation_009.png
273,0x06B5B34,10,0x066F364,2,4,character_sprites/character_273/animation_010.png
273,0x06B5B34,11,0x066F5B8,2,4,character_sprites/character_273/animation_011.png
273,0x06B5B34,12,0x066FFB4,3,4,character_sprites/character_273/animation_012.png
273,0x06B5B34,13,0x06709D0,4,4,character_sprites/character_273/animation_013.png
273,0x06B5B34,14,0x06711F8,4,4,character_sprites/character_273/animation_014.png
273,0x06B5B34,15,0x067162C,4,4,character_sprites/character_273/animation_015.png
273,0x06B5B34,16,0x0671E70,2,4,character_sprites/character_273/animation_016.png
273,0x06B5B34,17,0x0673244,5,4,character_sprites/character_273/animation_017.png
273,0x06B5B34,18,0x06740A0,11,4,character_sprites/character_273/animation_018.png
274,0x06B5CE0,0,0x0674A2C,2,4,character_sprites/character_274/animation_000.png
274,0x06B5CE0,1,0x06758E8,4,4,character_sprites/character_274/animation_001.png
274,0x06B5CE0,2,0x0676800,4,4,character_sprites/character_274/animation_002.png
274,0x06B5CE0,3,0x0677348,3,4,character_sprites/character_274/animation_003.png
274,0x06B5CE0,4,0x067838C,4,4,character_sprites/character_274/animation_004.png
274,0x06B5CE0,5,0x06793D4,4,4,character_sprites/character_274/animation_005.png
274,0x06B5CE0,6,0x0679798,1,4,character_sprites/character_274/animation_006.png
274,0x06B5CE0,7,0x067A2D4,3,4,character_sprites/character_274/animation_007.png
274,0x06B5CE0,8,0x067A9B4,11,4,character_sprites/character_274/animation_008.png
274,0x06B5CE0,9,0x067AF1C,4,4,character_sprites/character_274/animation_009.png
274,0x06B5CE0,10,0x067B1B8,2,4,character_sprites/character_274/animation_010.png
274,0x06B5CE0,11,0x067BC60,3,4,character_sprites/character_274/animation_011.png
274,0x06B5CE0,12,0x067C18C,4,4,character_sprites/character_274/animation_012.png
274,0x06B5CE0,13,0x067CA50,2,4,character_sprites/character_274/animation_013.png
274,0x06B5CE0,14,0x067D610,10,4,character_sprites/character_274/animation_014.png
275,0x06B5D84,0,0x0674A2C,2,4,character_sprites/character_275/animation_000.png
275,0x06B5D84,1,0x06758E8,4,4,character_sprites/character_275/animation_001.png
275,0x06B5D84,2,0x0676800,4,4,character_sprites/character_275/animation_002.png
275,0x06B5D84,3,0x0677348,3,4,character_sprites/character_275/animation_003.png
275,0x06B5D84,4,0x067838C,4,4,character_sprites/character_275/animation_004.png
275,0x06B5D84,5,0x06793D4,4,4,character_sprites/character_275/animation_005.png
275,0x06B5D84,6,0x0679798,1,4,character_sprites/character_275/animation_006.png
275,0x06B5D84,7,0x067A2D4,3,4,character_sprites/character_275/animation_007.png
275,0x06B5D84,8,0x067A9B4,11,4,character_sprites/character_275/animation_008.png
275,0x06B5D84,9,0x067AF1C,4,4,character_sprites/character_275/animation_009.png
275,0x06B5D84,10,0x067B1B8,2,4,character_sprites/character_275/animation_010.png
275,0x06B5D84,11,0x067BC60,3,4,character_sprites/character_275/animation_011.png
275,0x06B5D84,12,0x067C18C,4,4,character_sprites/character_275/animation_012.png
275,0x06B5D84,13,0x067CA50,2,4,character_sprites/character_275/animation_013.png
275,0x06B5D84,14,0x067D610,10,4,character_sprites/character_275/animation_014.png
